IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,94.5749282836914,136824,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.87198638916016,149952,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,86.98296546936035,139100,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.86979866027832,138991,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,70.29509544372559,150141,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,84.74111557006836,237086,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.55007934570312,149874,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,74.43690299987793,172714,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,68.50886344909668,136825,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,70.51396369934082,199584,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,80.59811592102051,139238,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,76.96104049682617,26518,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.12120628356934,172437,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,81.76803588867188,199459,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,66.89715385437012,150139,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,72.45612144470215,139519,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,75.87981224060059,139260,1,198.41.0.4,
8.8.8.8,SYS-8.8.8.8,0,a.root-servers.net.,A,96.23217582702637,128519,1,198.41.0.4,
